	Col-0h	Col-12h	Col-24h	28-0h	28-12h	28-24h	60-0h	60-12h	60-24h
AT1G01010	0.130444481	0.825968779	1.225879071	0.451715736	1.020242178	0.890845126	0.732339126	0.916804751	0.83260519
AT1G01060	0.004238634	-0.642022848	1.988226963	-0.022891994	-0.489121934	0.681710066	-0.020399226	-0.710062697	0.43245068
AT1G01080	0.119275305	-0.332645881	-1.053404975	-0.176385464	-1.016086585	-0.779957419	0.072281901	-1.197849693	-0.291959055
AT1G01120	-0.687778739	-0.270166336	-0.773331822	-0.628477689	-0.396857058	-1.685162343	-0.414085124	-0.653264983	-0.995014391
AT1G01130	-0.391320403	-0.555856678	-0.448018076	-0.204249294	-0.312860828	-0.552457924	0.24805558	-0.938060406	-1.147377573
AT1G01200	0.002550884	-0.833397383	-1.064515423	-0.18807045	-1.299061919	-0.939508128	-0.325756242	-1.337072644	-0.891732782
AT1G01240	0.000428473	1.376365662	0.231287891	0.366510439	1.205642844	0.119526916	0.455503117	1.342742352	0.450172154
AT1G01250	-0.807326574	-2.304143308	-2.108868585	-0.713329433	-2.513244366	-1.368136093	-0.169479106	-2.957748083	-2.411991961
AT1G01320	-0.190598287	-0.951062337	-0.308743333	-0.318705783	-1.350240427	-0.16469358	-0.273388372	-1.679097444	-0.391832757
AT1G01340	-0.28338339	2.679043833	2.725066214	-0.28231952	2.629092145	2.300839315	-0.167334617	2.305195679	2.125010042
AT1G01380	3.651534701	0.147077086	-0.954666125	3.945255084	0.54310748	-0.288566302	-0.091597818	-1.466007455	-0.692849652
AT1G01390	-0.258670784	-1.247434982	-1.94713809	-0.258030549	-1.670922636	-2.195504591	-0.419201414	-1.510121755	-1.874828318
AT1G01420	-0.243207477	-0.976834683	-0.685557828	-0.184236627	-1.231037339	-0.993850393	-0.154463253	-1.575572931	-0.834919626
AT1G01430	-0.336505122	-0.583863136	-0.74140935	-0.31179361	-1.049930528	-1.104414747	-0.327082992	-1.34629085	-0.913230108
AT1G01453	-2.237989121	0.267746807	0.500057131	-1.873740104	-2.737589395	-0.792990293	-1.490283812	-0.673820361	0.330652325
AT1G01480	-0.506984166	3.63947556	3.510071856	-0.441173001	4.491345868	4.418191031	0.401839271	4.267898806	4.18659328
